Chinese,English,Category,Novel,Notes
陰陽鏡,Yin-Yang Mirrors,item,Villain Refused Script,Pair of Dao Artifacts gifted by Dao Yuan
天雷劫,Heaven Thunder Tribulation,technique,Villain Refused Script,Dao Yuan's ultimate technique simulating heavenly tribulation
安若依,An Ruoyi,character_name,Villain Refused Script,Celestial Maiden Sect Master - half-step strongest Divine Spirit practicing Red Dust Dao
若依道神,Ruoyi Divine Spirit,title,Villain Refused Script,An Ruoyi's title as sect master
紅塵道,Red Dust Dao,technique,Villain Refused Script,Cultivation path focusing on entering the world then transcending it
紅塵經,Red Dust Scripture,technique,Villain Refused Script,Celestial Maiden Sect's cultivation method for Red Dust Dao
血祭壇,Blood Altar,item,Villain Refused Script,Forbidden ritual altar requiring 100000 young lives - banned by Supreme Council
天魔玄宮,Heavenly Demon Profound Palace,cultivation_term,Villain Refused Script,Demonic palace opened within body at Profound Palace Realm
玄宮境,Profound Palace Realm,cultivation_realm,Villain Refused Script,Cultivation realm above Divine Profound - opens an inner palace
神農氏遺跡,Divine Farmer Shennong's Relic,location,Villain Refused Script,Ancient relic in the Great Wasteland sought by Xuanyuan Ze
大荒,Great Wasteland,location,Villain Refused Script,Dangerous wilderness area where Divine Farmer's relic is located
世界樹果實,World Tree Fruit,item,Villain Refused Script,Supreme treasure for opening Profound Palace - greatly enhances breakthrough
世界樹,World Tree,item,Villain Refused Script,Legendary divine tree that bears World Tree Fruit
天靈境,Heaven Spirit Realm,cultivation_realm,Villain Refused Script,Cultivation realm above Profound Palace Realm - can create true pocket dimensions
玄宮,Profound Palace,cultivation_term,Villain Refused Script,Inner palace opened within the body at Profound Palace Realm
靈,Spirit,cultivation_term,Villain Refused Script,Vitality or soul-like essence that can be nurtured in advanced Profound Palaces
羽兒,Yu'er,character_name,Villain Refused Script,Pet name Su Yun gives True Feather Divine Spirit
副掌門,Vice Sect Master,title,Villain Refused Script,Second-in-command position in a sect
大千世界,Greater Thousand Worlds,technique,Villain Refused Script,Divine ability from World Tree Fruit - channels power of the greater cosmos
靈脈,Spirit Veins,cultivation_term,Villain Refused Script,Veins of spirit energy nurtured within advanced Profound Palaces
蘇毅輝,Su Yihui,character_name,Villain Refused Script,Su family traitor who controlled mineral assets - now controlled by Su Yun
軒轅沖,Xuanyuan Chong,character_name,Villain Refused Script,Xuanyuan family alternate councilman allied with Su Yun
親衛大營,Elite Guard Battalion,organization,Villain Refused Script,Xuanyuan family elite guards stationed near Imperial Capital
最高會議,Supreme Council,organization,Villain Refused Script,Ruling council within families like Xuanyuan family
軒轅神,Xuanyuan Shen,character_name,Villain Refused Script,Divine Son - biological son of Xuanyuan family founding ancestor
天蠻戰神,Heavenly Barbarian War God,character_name,Villain Refused Script,Barbarian Tribe strongest Divine Spirit - captured by Su Heng
人族戰神,Human Race War God,title,Villain Refused Script,Title proposed for Su Heng after his great victory
神源,Divine Source,location,Villain Refused Script,Heritage location where powerful ancestral beings are stabilized
蠻族,Barbarian Tribe,organization,Villain Refused Script,Ancient myriad race being fought by Su Heng in Americas
少主令,Young Master Token,item,Villain Refused Script,Token representing heir authority in Xuanyuan family
家主令,Patriarch Token,item,Villain Refused Script,Token representing patriarch authority in Xuanyuan family
靈蠻,Ling Man,character_name,Villain Refused Script,Spirit Barbarian Goddess - daughter of Heavenly Barbarian War God - Destiny's Beloved
靈蠻一脈,Spirit Barbarian lineage,organization,Villain Refused Script,Ling Man's clan within the Barbarian Tribe
戰爭女神雅典娜,War Goddess Athena,character_name,Villain Refused Script,Mount Olympus faction leader opposing Su Heng in Federation council
眾神山,Mount Olympus,organization,Villain Refused Script,Faction in Federation Supreme Council - opposes Su family expansion
秦贏,Qin Ying,character_name,Villain Refused Script,Su Yun's maternal uncle - Qin family patriarch - alternate councilman who betrayed Su family
秦君華,Qin Junhua,character_name,Villain Refused Script,Su Yun's mother - daughter of Qin family
無上蠻兵,Supreme Barbarian Weapon,item,Villain Refused Script,Divine weapon of the Barbarian Tribe - can seal space
蠻紋,Barbarian Tattoos,cultivation_term,Villain Refused Script,Barbarian cultivation markings that enhance power
凌雲學院,Lingyun Academy,location,Villain Refused Script,Academy in Imperial Capital run by Ling family - Su Yayue's former school
天海市,Tianhai City,location,Villain Refused Script,Medium-sized city about 15000 miles from Imperial Capital
地皇神農氏,Earth Emperor Divine Farmer Shennong,character_name,Villain Refused Script,One of the three ancient sovereigns - left relic sought by Xuanyuan family
天地人三皇,Three Ancient Sovereigns,cultivation_term,Villain Refused Script,Heaven Earth and Human Emperors - legendary figures of ancient China
人皇軒轅,Human Emperor Xuanyuan,character_name,Villain Refused Script,Founder of Xuanyuan family legacy - one of three ancient sovereigns
軒轅始祖,Xuanyuan Founding Ancestor,character_name,Villain Refused Script,Founder of Xuanyuan family - strongest Divine Spirit who established Azure Federation
忠伯,Zhong Bo,character_name,Villain Refused Script,Su Yong former servant with grudge against Su family - now serves Xuanyuan Li
蘇勇,Su Yong,character_name,Villain Refused Script,Former Su family member whose servants now serve Xuanyuan Li
開天九式,Heaven-Splitting Nine Strikes,technique,Villain Refused Script,Supreme battle technique created by Pangu to cleave open heaven and earth
星辰共鳴,Resonance with the Stars,cultivation_term,Villain Refused Script,Charm level at 66000 points granting 50x cultivation speed
秦州,Qin Province,location,Villain Refused Script,Province where Qin family is located - population of nearly 20 million
秦城,Qin City,location,Villain Refused Script,Qin family main city - center of power in Qin Province
端木家族,Duanmu family,organization,Villain Refused Script,Powerful family allied with Mount Olympus against Su family
龍紋戰旗,Dragon-Patterned Battle Standard,item,Villain Refused Script,Qin family clan-protecting divine weapon - contains supreme dragon soul
神源,Divine Source,item,Villain Refused Script,High-quality cultivation resource measured in jin
源石,Source Stones,item,Villain Refused Script,Basic cultivation resource measured in jin
孟家,Meng family,organization,Villain Refused Script,Ancient Imperial Capital family that supports Su family
孟無道,Meng Wudao,character_name,Villain Refused Script,Heir of the Meng family
蘇戰,Su Zhan,character_name,Villain Refused Script,Su Heng's father and previous Su family patriarch - Strongest Divine Spirit
端木磊,Duanmu Lei,character_name,Villain Refused Script,Duanmu family patriarch and Council member - allied against Su family
神將,Divine General,title,Villain Refused Script,Commander of a battalion in the Su family's eighteen battalions
陣紋,Formation Runes,cultivation_term,Villain Refused Script,Array patterns inscribed throughout fortresses and territories
戰城,Battle Fortress,location,Villain Refused Script,Fortified city with accumulated formations and defenses over generations
十三大營,Thirteen Great Battalions,organization,Villain Refused Script,Thirteen of the Su family's eighteen elite battalions - used in Qin Province campaign
歐陽鋒,Ouyang Feng,character_name,Villain Refused Script,Ouyang family patriarch - Strongest Divine Spirit who supports Human Race interests over factional politics
歐陽家,Ouyang family,organization,Villain Refused Script,One of China's four great Divine Spirit clans - maintains neutrality and focuses on Human Race interests
璃神,Li Shen,character_name,Villain Refused Script,Pixiu Venerable - Strongest Divine Spirit of the Pixiu Clan who seeks alliance with Su family
金羽騎士,Golden Feather Knight,character_name,Villain Refused Script,Divine Son of War Goddess Athena's lineage - possesses celestial bloodline with wings
戰爭神矛,War Spear,item,Villain Refused Script,Athena's Ancient Divine Weapon - extremely powerful offensive weapon
凌遲,Lingchi,cultivation_term,Villain Refused Script,Death by a thousand cuts - traditional execution method for traitors
誅三族,Execution of Three Kinships,cultivation_term,Villain Refused Script,Execution extending to paternal maternal and descendant lines
八岐蛇神,Eight-Headed Serpent God,character_name,Villain Refused Script,Divine Spirit of the island nation aligned with Mount Olympus
宙斯,Zeus,character_name,Villain Refused Script,King of the Western Gods at Mount Olympus - Strongest Divine Spirit
乾坤鼎,Qiankun Cauldron,item,Villain Refused Script,Celestial Maiden Sect's sect-guarding divine weapon - transforms acquired into innate
斗轉星移,Star Shift,technique,Villain Refused Script,Ouyang Feng's divine ability - manipulates stars and space
群星隕落,Falling Stars,technique,Villain Refused Script,Ouyang Feng's attack technique - summons meteors from space
星辰旗,Star Banner,item,Villain Refused Script,Ouyang family's clan-guarding divine weapon
明玉,Mingyu,character_name,Villain Refused Script,Holy Maiden of Celestial Maiden Sect - betrays her master for Demon Race prince
魔羽,Mo Yu,character_name,Villain Refused Script,Demon Race prince - Mingyu's lover whom she harbors secretly
聖女,Holy Maiden,title,Villain Refused Script,High status female disciple position in sects like Celestial Maiden Sect
魔族,Demon Race,organization,Villain Refused Script,Super Ancient Race - one of Blue Star's top ten super races
天女經,Celestial Maiden Scripture,technique,Villain Refused Script,Celestial Maiden Sect's cultivation method - severing mortal attachments
聖女令,Holy Maiden Token,item,Villain Refused Script,Token representing Holy Maiden authority in Celestial Maiden Sect
宗主令,Sect Master Token,item,Villain Refused Script,Token representing sect master authority in sects
教坊營,Courtesan Battalion,organization,Villain Refused Script,Su family's military division for female captives to serve the army - modeled after ancient dynasty
釋天佛祖,Buddha Ancestor Shitian,character_name,Villain Refused Script,One of China's six Strongest Divine Spirits - leader of the Buddhist Sect
儒祖,Confucian Patriarch,character_name,Villain Refused Script,China's most ancient Strongest Divine Spirit - leader of Confucian School - lived nearly 500 years
太陽精輪,Sun Essence Wheel,item,Villain Refused Script,Ancient Primordial Divine Weapon born from Ancient Sun Star - one of twin weapons
太陰精輪,Moon Essence Wheel,item,Villain Refused Script,Ancient Primordial Divine Weapon born from Ancient Moon Star - one of twin weapons
八翼天使,Eight-Winged Angel,cultivation_term,Villain Refused Script,Legendary God Race status - surpasses the God King's Six-Winged level
六翼天使,Six-Winged Angel,cultivation_term,Villain Refused Script,Highest current God Race status - possessed by God Emperor and supreme God King
九霄神雷,Nine Heavens Divine Thunder,technique,Villain Refused Script,Heavenly Dao's divine thunder for tribulation punishment - destructive laws of heaven
天女散花,Celestial Maiden Scattering Flowers,technique,Villain Refused Script,Mingyu's attack technique - blood-red flowers with killing intent
山河玄宮,Mountains and Rivers Profound Palace,cultivation_term,Villain Refused Script,Su Yun's Profound Palace world - reached 1.9 million zhang
聖境,Saint Realm,cultivation_realm,Villain Refused Script,Realm transcending ordinary beings - can destroy mountains and establish sects
乾坤無量,Boundless Qiankun,technique,Villain Refused Script,Qiankun Cauldron's supreme technique - transforms acquired into innate
秦阳,Qin Yang,character_name,Killing Spree,MC - powerful cultivator and true young master of the Qin family
苏暖月,Su Nuanyue,character_name,Killing Spree,Female lead - capable heiress controlling the Su family business
杜丽,Du Li,character_name,Killing Spree,Qin Yang's girlfriend - sharp and fierce beauty
姬豆豆,Ji Doudou,character_name,Killing Spree,Female cultivator and livestreamer - practices dual cultivation with Qin Yang
秦伟业,Qin Weiye,character_name,Killing Spree,Qin Yang's biological father who abandoned him
秦一涵,Qin Yihan,character_name,Killing Spree,Qin Yang's paternal aunt - legitimate daughter of the Qin family
秦有田,Qin Youtian,character_name,Killing Spree,Patriarch of the prestigious Qin family - Qin Yang's grandfather
金刚,Jingang,character_name,Killing Spree,Qin Yang's sworn brother - powerful martial artist at Terrestrial Immortal level
苏中海,Su Zhonghai,character_name,Killing Spree,Su Nuanyue's father - third brother of the Su family
苏中天,Su Zhongtian,character_name,Killing Spree,Su Nuanyue's eldest uncle
苏中山,Su Zhongshan,character_name,Killing Spree,Su Nuanyue's second uncle - lazy and dismissive
苏蔷,Su Qiang,character_name,Killing Spree,Su Nuanyue's aunt - poisoned the entire Su family
苏玉龙,Su Yulong,character_name,Killing Spree,Su family eldest grandson - resents Su Nuanyue's control of family
苏玉民,Su Yumin,character_name,Killing Spree,Su Zhongshan's son
秦傲,Qin Ao,character_name,Killing Spree,One of Qin Youtian's illegitimate sons - arrogant but foolish
张鑫,Zhang Xin,character_name,Killing Spree,Celebrated traditional medicine practitioner - calls Qin Yang Grandmaster
方问道,Fang Wendao,character_name,Killing Spree,The Needle Saint - one of Dragon Kingdom's top medical practitioners - Qin Yang's named disciple
白云老道,Old Daoist Baiyun,character_name,Killing Spree,Abbot of White Cloud Temple - Qin Yang's master/senior - extremely protective
乔月,Qiao Yue,character_name,Killing Spree,Leader/boss of the Dragon Pavilion
叶龙飞,Ye Longfei,character_name,Killing Spree,Underworld figure in South City
秦立,Qin Li,character_name,Killing Spree,Qin Weiye's non-biological son raised in place of Qin Yang
王妈,Mama Wang,character_name,Killing Spree,Housekeeper/maid at Su family residence
龙阁,Dragon Pavilion,organization,Killing Spree,Elite organization with 108 core members - Qin Yang is a key figure
龙国,Dragon Kingdom,location,Killing Spree,Fictionalized China in the novel's setting
蓝星,Blue Star,location,Killing Spree,Fictionalized Earth in the novel's setting
安全部,National Security Bureau,organization,Killing Spree,Government security agency - cooperates with Dragon Pavilion
白云观,White Cloud Temple,location,Killing Spree,Daoist temple led by Old Daoist Baiyun
陆地神仙,Terrestrial Immortal,cultivation_realm,Killing Spree,High cultivation level - Jingang has reached this realm
神棍,Mystic,title,Killing Spree,Qin Yang's nickname among his Dragon Pavilion brothers
定身术,Immobilization Spell,technique,Killing Spree,Spell that freezes targets in place - used by Ji Doudou
掌心雷,Palm Lightning,technique,Killing Spree,Lightning technique cast from the palm
五雷轰顶,Five Thunders from the Heavens,technique,Killing Spree,Devastating lightning technique - can reduce targets to ash
少女,Maiden,item,Killing Spree,Sophisticated slow-acting poison that mimics natural decline - incurable except by Qin Yang
功德,Merit,cultivation_term,Killing Spree,Karmic merit gained from righteous acts like slaying demons
安北家族,Anbei Family,organization,Killing Spree,Island Nation's onmyoji family
阴阳师,Onmyoji,cultivation_term,Killing Spree,Island Nation's spiritual practitioners
针圣,Needle Saint,title,Killing Spree,Title held by Fang Wendao - one of Dragon Kingdom's top medical practitioners
陆厉行,Lu Lixing,character_name,Killing Spree,Businessman who supports Su Nuanyue - allied with Qin Yang
顾天明,Gu Tianming,character_name,Killing Spree,Businessman who supports Su Nuanyue - calls Qin Yang Immortal Master
徐亮,Xu Liang,character_name,Killing Spree,City Chief of South City - extremely powerful connections through his father
秦雪,Qin Xue,character_name,Killing Spree,Qin Weiye's daughter with Jiang Wanrou - Qin Yang's biological half-sister
江婉柔,Jiang Wanrou,character_name,Killing Spree,Qin Xue's mother - Qin Weiye's ex-wife from the Jiang family
秦宛,Qin Wan,character_name,Killing Spree,Qin Xue's younger sister - Qin Weiye's daughter
孙宜虎,Sun Yihu,character_name,Killing Spree,Underground boss of northern South Province - killed by Dragon Pavilion
叶晨,Ye Chen,character_name,Killing Spree,Ye Longfei's son
江家,Jiang Family,organization,Killing Spree,Jiang Wanrou's wealthy family - target of Qin Weiye's schemes
市首,City Chief,title,Killing Spree,Municipal leader - title for Xu Liang
南省,South Province,location,Killing Spree,Province where South City is located
南城,South City,location,Killing Spree,City where the main story takes place
弟妹,Sister-in-law,title,Killing Spree,Term of address used by Qin Yang's sworn brothers for his women
大国手,Celebrated Practitioner,title,Killing Spree,Honorary title for top traditional medicine doctors
殺神宗,Killing God Sect,organization,No Daughter of Luck,Powerful immortal sect that Xiao Fan destroys
影無殺,Ying Wusha,character_name,No Daughter of Luck,Sect Master of Killing God Sect - late-stage Grand Luo Golden Immortal
龍凝冰,Long Ningbing,character_name,No Daughter of Luck,Dragon girl from Myriad Dragon Nest - one of Xiao Fan's women
陳妙璃,Chen Miaoli,character_name,No Daughter of Luck,Heavenly Dao disciple with dark constitution - carries Blood Scythe and Ghost Cauldron
血鐮,Blood Scythe,item,No Daughter of Luck,Chen Miaoli's innate weapon with a blood eye - drains blood
鬼鼎,Ghost Cauldron,item,No Daughter of Luck,Chen Miaoli's bone cauldron that converts flesh to blood pills
殺神仙域,Killing God Immortal Domain,location,No Daughter of Luck,Territory controlled by Killing God Sect
生死幻滅神雷,Life-Death Annihilation Divine Thunder,technique,No Daughter of Luck,Xiao Fan's lightning technique with multiple forms
死寂之雷,Deathly Silence Lightning,technique,No Daughter of Luck,Death-attribute lightning from Life-Death Annihilation Divine Thunder
大景仙朝,Grand Vista Immortal Court,organization,No Daughter of Luck,Small immortal dynasty protected by Xiao Fan
刑道榮,Xing Daorong,character_name,No Daughter of Luck,Previous owner of the axe Xiao Fan seized
太古天使,Primordial Angel,creature,No Daughter of Luck,Purified form of hell demon gods - holy and powerful
天殺,Tiansha,character_name,No Daughter of Luck,First of three Primordial Angels ruling Killing God Immortal Domain
地殺,Disha,character_name,No Daughter of Luck,Second of three Primordial Angels ruling Killing God Immortal Domain
人殺,Rensha,character_name,No Daughter of Luck,Third of three Primordial Angels ruling Killing God Immortal Domain
神象主宰,Divine Elephant Sovereign,title,No Daughter of Luck,Title used by Primordial Angels to address Xiao Fan
永恒仙域,Eternal Immortal Domain,location,No Daughter of Luck,Major immortal domain where Xiao Fan resides after ascension
瑤池仙宮,Yaochi Immortal Palace,organization,No Daughter of Luck,Women's sect where Yu Yue is Palace Master - Xiao Fan's base
永恒聖王,Eternal Holy King,title,No Daughter of Luck,Ancient king whose inheritance Xiao Fan received
天道宗,Heavenly Dao Sect,organization,No Daughter of Luck,Chen Miaoli's sect in the immortal realm
薑蘭芷,Jiang Lanzhi,character_name,No Daughter of Luck,Xiao Fan's fiancée - shares One Heart Same Body bond
朱通,Zhu Tong,character_name,No Daughter of Luck,Corrupt Holy Academy elder who secretly deals with foreign cultivators
聖院,Holy Academy,organization,No Daughter of Luck,Governing body of Eternal Immortal Domain - corrupt leadership
大傳送陣,Great Teleportation Array,item,No Daughter of Luck,Array connecting foreign immortal domains to Eternal Immortal Domain
混元大羅果,Primordial Chaos Grand Luo Fruit,item,No Daughter of Luck,Fruit that elevated Xiao Fan to Primordial Chaos Grand Luo realm
玲彥,Lingyan,character_name,No Daughter of Luck,Heavenly Demon Blood Emperor's sister - Nana's aunt - Heavenly Demon Tribe princess
天魔血帝,Heavenly Demon Blood Emperor,character_name,No Daughter of Luck,Lingyan's brother and ruler of the Heavenly Demon Tribe
天魔族,Heavenly Demon Tribe,race,No Daughter of Luck,Demonic tribe residing in outer stars seeking land in Eternal Immortal Domain
娜娜,Nana,character_name,No Daughter of Luck,Heavenly Demon Blood Emperor's daughter - one of Xiao Fan's playthings
趙靈兒,Zhao Ling'er,character_name,No Daughter of Luck,Yaochi Immortal Palace disciple and one of Xiao Fan's women
蘇錦繡,Su Jinxiu,character_name,No Daughter of Luck,One of Xiao Fan's women at Yaochi Immortal Palace
沈碧如,Shen Biru,character_name,No Daughter of Luck,One of Xiao Fan's women running operations in another domain
喵小晴,Miao Xiaoqing,character_name,No Daughter of Luck,Cat-spirit girl who serves as Xiao Fan's spy in the Holy Academy - Taiyi Golden Immortal
太乙金仙果,Taiyi Golden Immortal Fruit,item,No Daughter of Luck,Fruit that elevated Miao Xiaoqing to Taiyi Golden Immortal realm
聖徒,Holy Apostle,title,No Daughter of Luck,Top-ranked disciple position at the Holy Academy
聖殿,Holy Temple,location,No Daughter of Luck,Special training ground run by the Holy Academy for elite disciples
時空秘典,Spacetime Secret Canon,item,No Daughter of Luck,Xiao Fan's time-accelerating artifact - up to 365x
聖道,Saint Realm,cultivation_realm,No Daughter of Luck,Cultivation realm above Primordial Chaos Grand Luo
